product_name,product_current_price,product_old_price,product_url,product_image_url,product_seller,product_availability,product_category,product_subcategory,product_weight,timestamp_timezone,product_brand,product_ram,product_storage,product_discount_amount,product_discount_percentage,product_has_discount,product_measuring_unit,product_count,product_has_image_url,product_has_ram,product_has_storage,date_id,date,day,year,month,quarter,month_name,day_name,day_of_week,day_of_year,week_of_year,is_weekend,is_holyday,holyday_name,is_workday,is_leap_year,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,is_week_start,is_week_end,season,is_winter,is_spring,is_summer,is_autumn,time_id,time_12,time_24,hour_12,hour_24,minute,second,meridiem,is_am,is_pm,part_of_day,is_morning,is_afternoon,is_evening,is_night,is_noon,is_midnight,is_midday,product_is_talabat_seller
"McVitie's Milk Chocolate Digestive Biscuits, 28g",10.0,10.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/biscuits-wafers/digestive-biscuits?aid=7067,https://talabat.dhmedia.io/image/product-information-management/64f071778d63f86d7f14f89c.jpg,tKiosk by tMart,1,snacks & sweets,biscuits & cakes,28.0,Africa/Cairo,cola,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Munchi Wafers Filled with Strawberry Cream, 4 Pieces",6.25,6.25,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/biscuits-wafers/wafers?aid=7067,missing_url,tKiosk by tMart,1,dairy & eggs,biscuits & cakes,0.0,Africa/Cairo,munchi,unknown,unknown,0.0,0.0,0,Piece,1.0,0,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Kellogg's Frosties Cereal 470 gm,300.0,300.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/breakfast-food/cereals?aid=7067,https://talabat.dhmedia.io/image/product-information-management/6926e50558e2d71dfde61cb4.png,tKiosk by tMart,1,breakfast cereals,breakfast cereals & bars,470.0,Africa/Cairo,kellogg,unknown,unknown,0.0,0.0,0,Gm,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"El Bawadi Plain Halawa, 145g",31.95,31.95,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/breakfast-food/halawa?aid=7067,https://talabat.dhmedia.io/image/product-information-management/68050420666794a73198d9b8.jpg,tKiosk by tMart,1,pantry & ingredients,jars & spreads,145.0,Africa/Cairo,el bawadi,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"talabat Spring Honey Squeeze Bottle, 500g",119.95,119.95,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/breakfast-food/honey?aid=7067,https://talabat.dhmedia.io/image/product-information-management/6870f47a367a1326bc725617.png,tKiosk by tMart,1,pantry & ingredients,jars & spreads,500.0,Africa/Cairo,squeeze,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Elbawadi Fig Creamy Jam, 365g",35.95,35.95,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/breakfast-food/jams?aid=7067,https://talabat.dhmedia.io/image/product-information-management/682e0010a8c57552c6cf6555.JPG,tKiosk by tMart,1,pantry & ingredients,jars & spreads,365.0,Africa/Cairo,el bawadi,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Nutella Chocolate Hazelnut Spread, 350g",238.0,238.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/breakfast-food/spreads?aid=7067,https://talabat.dhmedia.io/image/product-information-management/68e220d035c9f6c94e747dfd.jpg,tKiosk by tMart,1,snacks & sweets,chocolate & confectionery,350.0,Africa/Cairo,nutella,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"Todo Chocolate Brownie Cake, 50g",15.0,15.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/cakes/chocolate-cake?aid=7067,https://talabat.dhmedia.io/image/product-information-management/69c547c526dc227c37449220.png,tKiosk by tMart,1,snacks & sweets,chocolate & confectionery,50.0,Africa/Cairo,brown,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
Fun Day Twin Cakes Red Velvet Cake 58Gm,10.0,10.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/cakes/other-cakes?aid=7067,https://talabat.dhmedia.io/image/product-information-management/679b3eb314e25aa1a8cfa222.jpg,tKiosk by tMart,1,snacks & sweets,biscuits & cakes,58.0,Africa/Cairo,funday,unknown,unknown,0.0,0.0,0,Gm,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
"L'usine Vanilla Cupcakes, 30g",10.0,10.0,https://www.talabat.com/egypt/grocery/743155/tkiosk-by-tmart-fleming-koliyat-tarbya-2/cakes/vanilla-cake?aid=7067,https://talabat.dhmedia.io/image/product-information-management/6902374a64d3b816f63a8c02.jpg,tKiosk by tMart,1,snacks & sweets,biscuits & cakes,30.0,Africa/Cairo,vanilla,unknown,unknown,0.0,0.0,0,G,1.0,1,0,0,20260612,2026-06-12,12,2026,6,2,June,Friday,5,163,24,true,0,N/A,false,false,false,false,false,false,false,false,false,false,Summer,false,false,true,false,50732,05:07:32,05:07:32,5,5,7,32,AM,true,false,morning,true,false,false,false,false,false,false,false
